"","In","Out","N","heavy_strong","stress_heavy_strong","stressed_strongheavy_cadence","heavy_strong_cadence","stress_high_strong"
"1","X",1,97,0,0,0,0,0
"2","X",2,53,1,0,0,0,0
"3","X",3,51,0,0,0,0,1
"4","X",4,49,0,0,1,0,0
"5","X",5,41,1,1,0,0,0
"6","X",6,34,1,0,0,0,1
"7","X",7,28,1,0,1,0,0
"8","X",8,26,1,0,0,1,0
"9","X",9,23,2,0,0,1,0
"10","X",10,22,1,1,0,0,1
"11","X",11,21,2,0,1,1,0
"12","X",12,19,1,0,1,1,0
"13","X",13,19,2,0,0,0,0
"14","X",14,18,1,0,0,1,1
"15","X",15,16,2,1,0,0,0
"16","X",16,15,1,1,0,0,2
"17","X",17,13,0,0,1,0,1
"18","X",18,13,2,1,0,0,1
"19","X",19,12,1,1,1,0,1
"20","X",20,12,2,0,1,0,0
"21","X",21,12,2,1,0,1,1
"22","X",22,11,0,0,0,0,2
"23","X",23,9,1,1,1,0,0
"24","X",24,8,1,0,1,1,1
"25","X",25,8,2,0,0,1,1
"26","X",26,8,2,1,0,1,0
"27","X",27,8,2,1,0,1,2
"28","X",28,8,2,2,0,0,1
"29","X",29,7,3,0,0,1,0
"30","X",30,6,1,0,1,0,1
"31","X",31,6,1,1,0,1,1
"32","X",32,6,1,1,0,1,2
"33","X",33,6,2,0,1,1,1
"34","X",34,6,2,1,0,0,2
"35","X",35,6,2,2,0,1,2
"36","X",36,5,2,0,0,0,1
"37","X",37,5,2,1,1,0,1
"38","X",38,5,3,0,1,1,0
"39","X",39,5,3,1,1,1,1
"40","X",40,4,2,1,1,0,2
"41","X",41,4,2,1,1,1,0
"42","X",42,4,2,2,0,0,2
"43","X",43,4,3,1,0,0,1
"44","X",44,4,3,1,0,1,1
"45","X",45,3,1,0,0,0,2
"46","X",46,3,1,0,0,1,2
"47","X",47,3,2,1,1,0,0
"48","X",48,3,3,0,0,0,0
"49","X",49,3,3,2,0,1,2
"50","X",50,2,2,0,0,1,2
"51","X",51,2,2,0,1,0,1
"52","X",52,2,2,0,1,0,2
"53","X",53,2,2,1,1,1,1
"54","X",54,2,2,2,0,0,0
"55","X",55,2,3,0,1,1,1
"56","X",56,2,3,1,0,1,0
"57","X",57,2,3,1,1,0,1
"58","X",58,2,3,1,1,1,2
"59","X",59,2,3,2,0,0,1
"60","X",60,2,3,2,0,1,1
"61","X",61,2,3,2,1,0,2
"62","X",62,1,0,0,0,0,3
"63","X",63,1,0,0,1,0,2
"64","X",64,1,1,0,0,0,3
"65","X",65,1,1,0,1,0,2
"66","X",66,1,1,0,1,1,2
"67","X",67,1,1,1,0,0,3
"68","X",68,1,1,1,0,0,4
"69","X",69,1,1,1,1,0,2
"70","X",70,1,2,1,1,1,2
"71","X",71,1,2,2,1,0,1
"72","X",72,1,3,0,1,0,0
"73","X",73,1,3,1,0,1,2
"74","X",74,1,3,2,0,0,2
"75","X",75,1,3,2,0,1,3
"76","X",76,1,3,2,1,0,0
"77","X",77,1,3,2,1,1,2
"78","X",78,1,3,3,0,0,1
"79","X",79,1,3,3,0,0,3
"80","X",80,1,3,3,0,1,3
"81","X",81,1,4,0,0,1,0
"82","X",82,1,4,0,1,1,0
"83","X",83,1,4,1,0,1,1
"84","X",84,1,4,1,0,1,2
"85","X",85,1,4,1,1,1,1
"86","X",86,1,4,2,1,0,2
